Word,PosTag,NamedEntity,PreviousPosTag,PreviousWord,NextPosTag,NextWord
0,0,0,0,0,0,0
1,1,1,1,1,1,1
2,2,2,2,2,2,2
3,3,1,3,3,3,3
4,4,1,4,4,4,4
5,5,1,5,5,1,5
6,2,2,6,6,2,6
7,3,1,3,7,5,7
8,6,1,4,8,6,8
9,0,3,0,0,7,9
10,0,3,1,9,6,8
11,0,4,0,0,8,10
12,7,1,1,10,6,8
13,8,1,0,0,7,11
14,0,0,7,11,7,12
15,0,0,1,12,9,13
16,9,1,1,13,10,14
17,10,1,8,14,7,15
18,0,1,9,15,11,16
19,11,1,1,16,9,17
20,9,1,10,17,10,18
21,10,1,8,18,1,1
2,2,2,9,19,2,19
22,3,1,3,3,3,3
4,4,1,4,20,12,20
23,12,1,5,5,3,3
4,4,1,11,21,4,21
24,5,1,5,5,1,5
6,2,2,6,22,2,6
7,3,1,3,7,10,22
25,10,1,4,8,12,23
26,12,1,9,23,13,24
27,13,1,11,24,10,25
28,10,1,12,25,1,26
29,2,1,9,26,2,27
30,3,1,3,27,2,28
31,3,1,4,28,14,29
32,14,1,4,29,4,30
33,5,1,13,30,15,31
34,15,1,6,31,3,3
4,4,1,14,32,2,32
35,3,1,5,5,5,7
8,6,1,4,33,6,8
36,0,4,0,0,16,33
37,16,1,1,34,2,34
38,3,1,15,35,3,3
4,4,1,4,36,17,35
39,8,1,5,5,7,11
14,0,0,7,37,7,36
40,0,0,1,12,16,33
37,16,1,1,38,1,37
41,2,1,15,35,2,38
42,3,1,3,39,7,39
43,0,3,4,40,7,40
44,0,3,1,41,9,13
16,9,1,1,42,10,14
17,10,1,8,14,7,41
45,0,1,9,15,12,20
23,12,1,1,43,14,42
46,14,1,11,21,4,43
47,5,1,13,44,2,44
48,3,1,6,45,10,45
49,10,1,4,46,12,46
50,12,1,9,47,1,47
51,2,1,11,48,10,48
52,10,1,3,49,7,49
53,0,4,9,50,10,22
25,10,1,1,51,17,35
39,8,1,9,23,1,50
54,2,1,7,37,2,19
22,3,1,3,52,9,51
55,9,1,4,20,18,52
56,17,1,8,53,5,7
8,6,1,16,54,6,8
57,18,1,0,0,11,53
58,11,1,17,55,13,54
59,13,1,10,56,19,55
60,19,1,12,57,4,56
61,5,1,18,58,17,57
62,8,1,6,59,1,58
63,2,1,7,60,2,59
64,3,1,3,61,10,60
65,10,1,4,62,11,61
66,11,1,9,63,13,54
59,13,1,10,64,19,55
60,19,1,12,57,4,62
67,5,1,18,58,17,57
62,8,1,6,65,12,63
68,12,1,7,60,10,64
69,10,1,11,66,11,16
19,11,1,9,67,20,65
70,20,1,10,17,21,66
57,18,1,19,68,17,35
39,8,1,17,55,7,12
15,0,0,7,37,16,33
