Word,PosTag,NamedEntity,PreviousPosTag,PreviousWord,NextPosTag,NextWord
EU,NNP,I-ORG,None,None,VBZ,rejects
rejects,VBZ,O,NNP,EU,JJ,German
German,JJ,I-MISC,VBZ,rejects,NN,call
call,NN,O,JJ,German,TO,to
to,TO,O,NN,call,VB,boycott
boycott,VB,O,TO,to,JJ,British
British,JJ,I-MISC,VB,boycott,NN,lamb
lamb,NN,O,JJ,British,.,.
.,.,O,NN,lamb,None,None
Peter,NNP,I-PER,None,None,NNP,Blackburn
Blackburn,NNP,I-PER,NNP,Peter,None,None
BRUSSELS,NNP,I-LOC,None,None,CD,1996-08-22
1996-08-22,CD,O,NNP,BRUSSELS,None,None
The,DT,O,None,None,NNP,European
European,NNP,I-ORG,DT,The,NNP,Commission
Commission,NNP,I-ORG,NNP,European,VBD,said
said,VBD,O,NNP,Commission,IN,on
on,IN,O,VBD,said,NNP,Thursday
Thursday,NNP,O,IN,on,PRP,it
it,PRP,O,NNP,Thursday,VBD,disagreed
disagreed,VBD,O,PRP,it,IN,with
with,IN,O,VBD,disagreed,JJ,German
German,JJ,I-MISC,IN,with,NN,advice
advice,NN,O,JJ,German,TO,to
to,TO,O,NN,advice,NNS,consumers
consumers,NNS,O,TO,to,TO,to
to,TO,O,NNS,consumers,VB,shun
shun,VB,O,TO,to,JJ,British
British,JJ,I-MISC,VB,shun,NN,lamb
lamb,NN,O,JJ,British,IN,until
until,IN,O,NN,lamb,NNS,scientists
scientists,NNS,O,IN,until,VBP,determine
determine,VBP,O,NNS,scientists,IN,whether
whether,IN,O,VBP,determine,JJ,mad
mad,JJ,O,IN,whether,NN,cow
cow,NN,O,JJ,mad,NN,disease
disease,NN,O,NN,cow,MD,can
can,MD,O,NN,disease,VB,be
be,VB,O,MD,can,VBN,transmitted
transmitted,VBN,O,VB,be,TO,to
to,TO,O,VBN,transmitted,NN,sheep
sheep,NN,O,TO,to,.,.
.,.,O,NN,sheep,None,None
Germany,NNP,I-LOC,None,None,POS,'s
's,POS,O,NNP,Germany,NN,representative
representative,NN,O,POS,'s,TO,to
to,TO,O,NN,representative,DT,the
the,DT,O,TO,to,NNP,European
European,NNP,I-ORG,DT,the,NNP,Union
Union,NNP,I-ORG,NNP,European,POS,'s
's,POS,O,NNP,Union,JJ,veterinary
veterinary,JJ,O,POS,'s,NN,committee
committee,NN,O,JJ,veterinary,NNP,Werner
Werner,NNP,I-PER,NN,committee,NNP,Zwingmann
Zwingmann,NNP,I-PER,NNP,Werner,VBD,said
said,VBD,O,NNP,Zwingmann,IN,on
on,IN,O,VBD,said,NNP,Wednesday
Wednesday,NNP,O,IN,on,NNS,consumers
consumers,NNS,O,NNP,Wednesday,MD,should
should,MD,O,NNS,consumers,VB,buy
buy,VB,O,MD,should,NN,sheepmeat
sheepmeat,NN,O,VB,buy,IN,from
from,IN,O,NN,sheepmeat,NNS,countries
countries,NNS,O,IN,from,JJ,other
other,JJ,O,NNS,countries,IN,than
than,IN,O,JJ,other,NNP,Britain
Britain,NNP,I-LOC,IN,than,IN,until
until,IN,O,NNP,Britain,DT,the
the,DT,O,IN,until,JJ,scientific
scientific,JJ,O,DT,the,NN,advice
advice,NN,O,JJ,scientific,VBD,was
was,VBD,O,NN,advice,JJR,clearer
clearer,JJR,O,VBD,was,.,.
.,.,O,JJR,clearer,None,None
"""","""",O,None,None,PRP,We
We,PRP,O,"""","""",VBP,do
do,VBP,O,PRP,We,RB,n't
n't,RB,O,VBP,do,VB,support
support,VB,O,RB,n't,DT,any
any,DT,O,VB,support,JJ,such
such,JJ,O,DT,any,NN,recommendation
recommendation,NN,O,JJ,such,IN,because
because,IN,O,NN,recommendation,PRP,we
we,PRP,O,IN,because,VBP,do
do,VBP,O,PRP,we,RB,n't
n't,RB,O,VBP,do,VB,see
see,VB,O,RB,n't,DT,any
any,DT,O,VB,see,NNS,grounds
grounds,NNS,O,DT,any,IN,for
for,IN,O,NNS,grounds,PRP,it
it,PRP,O,IN,for,",",","
",",",",O,PRP,it,"""",""""
"""","""",O,",",",",DT,the
the,DT,O,"""","""",NNP,Commission
Commission,NNP,I-ORG,DT,the,POS,'s
's,POS,O,NNP,Commission,JJ,chief
chief,JJ,O,POS,'s,NN,spokesman
spokesman,NN,O,JJ,chief,NNP,Nikolaus
Nikolaus,NNP,I-PER,NN,spokesman,NNP,van
van,NNP,I-PER,NNP,Nikolaus,FW,der
der,FW,I-PER,NNP,van,NNP,Pas
Pas,NNP,I-PER,FW,der,VBD,told
told,VBD,O,NNP,Pas,DT,a
a,DT,O,VBD,told,NN,news
news,NN,O,DT,a,NN,briefing
briefing,NN,O,NN,news,.,.
.,.,O,NN,briefing,None,None
He,PRP,O,None,None,VBD,said
said,VBD,O,PRP,He,JJ,further
further,JJ,O,VBD,said,JJ,scientific
scientific,JJ,O,JJ,further,NN,study
study,NN,O,JJ,scientific,VBD,was
was,VBD,O,NN,study,VBN,required
required,VBN,O,VBD,was,CC,and
and,CC,O,VBN,required,IN,if
if,IN,O,CC,and,PRP,it
it,PRP,O,IN,if,VBD,was
was,VBD,O,PRP,it,VBN,found
found,VBN,O,VBD,was,IN,that
that,IN,O,VBN,found,NN,action
action,NN,O,IN,that,VBD,was
was,VBD,O,NN,action,VBN,needed
needed,VBN,O,VBD,was,PRP,it
it,PRP,O,VBN,needed,MD,should
should,MD,O,PRP,it,VB,be
be,VB,O,MD,should,VBN,taken
taken,VBN,O,VB,be,IN,by
by,IN,O,VBN,taken,DT,the
the,DT,O,IN,by,NNP,European
European,NNP,I-ORG,DT,the,NNP,Union
Union,NNP,I-ORG,NNP,European,.,.
.,.,O,NNP,Union,None,None
He,PRP,O,None,None,VBD,said
said,VBD,O,PRP,He,DT,a
a,DT,O,VBD,said,NN,proposal
proposal,NN,O,DT,a,JJ,last
last,JJ,O,NN,proposal,NN,month
month,NN,O,JJ,last,IN,by
by,IN,O,NN,month,NNP,EU
EU,NNP,I-ORG,IN,by,NNP,Farm
Farm,NNP,O,NNP,EU,NNP,Commissioner
Commissioner,NNP,O,NNP,Farm,NNP,Franz
Franz,NNP,I-PER,NNP,Commissioner,NNP,Fischler
Fischler,NNP,I-PER,NNP,Franz,TO,to
to,TO,O,NNP,Fischler,VB,ban
ban,VB,O,TO,to,NN,sheep
sheep,NN,O,VB,ban,NNS,brains
brains,NNS,O,NN,sheep,",",","
",",",",O,NNS,brains,NNS,spleens
spleens,NNS,O,",",",",CC,and
and,CC,O,NNS,spleens,JJ,spinal
spinal,JJ,O,CC,and,NNS,cords
cords,NNS,O,JJ,spinal,IN,from
from,IN,O,NNS,cords,DT,the
the,DT,O,IN,from,NN,human
human,NN,O,DT,the,CC,and
and,CC,O,NN,human,NN,animal
animal,NN,O,CC,and,NN,food
food,NN,O,NN,animal,NNS,chains
chains,NNS,O,NN,food,VBD,was
was,VBD,O,NNS,chains,DT,a
a,DT,O,VBD,was,RB,highly
highly,RB,O,DT,a,JJ,specific
specific,JJ,O,RB,highly,CC,and
and,CC,O,JJ,specific,JJ,precautionary
precautionary,JJ,O,CC,and,NN,move
move,NN,O,JJ,precautionary,TO,to
to,TO,O,NN,move,VB,protect
protect,VB,O,TO,to,JJ,human
human,JJ,O,VB,protect,NN,health
health,NN,O,JJ,human,.,.
.,.,O,NN,health,None,None
Fischler,JJR,I-PER,None,None,VBN,proposed
proposed,VBN,O,JJR,Fischler,NNP,EU-wide
EU-wide,NNP,I-MISC,VBN,proposed,VBZ,measures
measures,VBZ,O,NNP,EU-wide,IN,after
after,IN,O,VBZ,measures,NNS,reports
reports,NNS,O,IN,after,IN,from
from,IN,O,NNS,reports,NNP,Britain
Britain,NNP,I-LOC,IN,from,CC,and
and,CC,O,NNP,Britain,NNP,France
France,NNP,I-LOC,CC,and,WDT,that
that,WDT,O,NNP,France,IN,under
under,IN,O,WDT,that,NN,laboratory
laboratory,NN,O,IN,under,NNS,conditions
conditions,NNS,O,NN,laboratory,NN,sheep
sheep,NN,O,NNS,conditions,MD,could
could,MD,O,NN,sheep,VB,contract
contract,VB,O,MD,could,NNP,Bovine
Bovine,NNP,I-MISC,VB,contract,NNP,Spongiform
Spongiform,NNP,I-MISC,NNP,Bovine,NNP,Encephalopathy
Encephalopathy,NNP,I-MISC,NNP,Spongiform,(,(
(,(,O,NNP,Encephalopathy,NNP,BSE
BSE,NNP,I-MISC,(,(,),)
),),O,NNP,BSE,:,--
--,:,O,),),JJ,mad
mad,JJ,O,:,--,NN,cow
cow,NN,O,JJ,mad,NN,disease
disease,NN,O,NN,cow,.,.
.,.,O,NN,disease,None,None
But,CC,O,None,None,NNP,Fischler
Fischler,NNP,I-PER,CC,But,VBD,agreed
agreed,VBD,O,NNP,Fischler,TO,to
to,TO,O,VBD,agreed,VB,review
review,VB,O,TO,to,PRP$,his
his,PRP$,O,VB,review,NN,proposal
proposal,NN,O,PRP$,his,IN,after
after,IN,O,NN,proposal,DT,the
the,DT,O,IN,after,NNP,EU
EU,NNP,I-ORG,DT,the,POS,'s
's,POS,O,NNP,EU,NN,standing
standing,NN,O,POS,'s,JJ,veterinary
veterinary,JJ,O,NN,standing,NN,committee
committee,NN,O,JJ,veterinary,",",","
",",",",O,NN,committee,JJ,mational
mational,JJ,O,",",",",NN,animal
animal,NN,O,JJ,mational,NN,health
health,NN,O,NN,animal,NNS,officials
officials,NNS,O,NN,health,",",","
",",",",O,NNS,officials,VBD,questioned
questioned,VBD,O,",",",",IN,if
if,IN,O,VBD,questioned,JJ,such
such,JJ,O,IN,if,NN,action
action,NN,O,JJ,such,VBD,was
was,VBD,O,NN,action,VBN,justified
justified,VBN,O,VBD,was,IN,as
as,IN,O,VBN,justified,RB,there
there,RB,O,IN,as,VBD,was
was,VBD,O,RB,there,RB,only
